tank,diet,latitude,longitude,start_density,start_biomass,start_count,start_ABW,start_ABL,mortality_p,length_mm,width_mm,area_mm2,weight_g,condition
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,95.08,60.02,450.46,112.33,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,60.49,51.15,243.50,28.24,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.76,57.68,298.09,36.45,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,75.58,58.53,338.94,55.75,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.81,61.30,304.22,31.68,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,58.85,57.56,268.69,25.96,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,71.39,55.51,315.94,46.84,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,81.65,54.99,371.62,70.58,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.02,58.05,360.90,61.42,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,67.03,58.19,310.31,38.64,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.16,56.33,360.54,64.20,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.89,63.79,366.07,52.02,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.82,66.42,414.84,65.85,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.13,61.91,319.57,35.39,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.42,61.55,320.00,37.57,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,59.84,59.57,286.17,27.32,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.34,51.99,256.27,30.96,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.59,64.45,369.31,51.39,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.06,64.79,378.59,52.38,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,59.95,55.63,264.96,27.48,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.74,55.63,350.62,65.65,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,54.65,53.02,231.10,20.71,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.86,57.72,282.03,30.24,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,70.43,60.56,333.92,44.93,0.75
